id,x,y
0,3999.0,1999.5
1,3998.5614766079534,2041.3743685567722
2,3997.246098782667,2083.230369631535
3,3995.054443492329,2125.049643798862
4,3991.987472069384,2166.8138477429648
5,3988.0465297888622,2208.5046623036733
6,3983.233345278298,2250.103800511826
7,3977.5500297594954,2291.593015610542
8,3970.9990761224744,2332.9541090588464
9,3963.5833578320135,2374.1689385141563
10,3955.3061276672443,2415.21942579011
11,3946.1710162948834,2456.0875647862563
12,3936.182030676698,2496.755429386127
13,3925.3435523119174,2537.205181320224
14,3913.6603353153682,2577.4190779904707
15,3901.137504332159,2617.3794802527073
16,3887.780552289843,2657.0688601537972
17,3873.595337989037,2696.4698086199696
18,3858.588083533559,2735.5650430930136
19,3842.7653716012064,2774.3374151109797
20,3826.1341425563805,2812.7699178300622
21,3808.7016914058063,2850.845693484363
22,3790.4756645987063,2888.5480407802625
23,3771.4640566728135,2925.8604222221634
24,3751.6752067477055,2962.7664713663794
25,3731.1177948669856,2999.25
26,3709.8008381909326,3035.295005241574
27,3687.7336870412796,3070.8856765605037
28,3664.9260207998436,3106.0064027120666
29,3641.387843662841,3140.6417785850213
30,3617.1294802527073,3174.7766119588
31,3592.1615710893807,3208.3959301673185
32,3566.495067923017,3241.4849866664813
33,3540.1412289301907,3274.0292675025053
34,3513.111613775687,3306.0144976782162
35,3485.4180785420494,3337.426647414537
36,3457.072770529112,3368.251938304413
37,3428.0881229257902,3398.476849356474
38,3398.476849356474,3428.0881229257902
39,3368.251938304413,3457.072770529112
40,3337.426647414537,3485.4180785420494
41,3306.0144976782162,3513.111613775687
42,3274.029267502505,3540.141228930191
43,3241.484986666481,3566.4950679230174
44,3208.3959301673185,3592.1615710893807
45,3174.7766119588,3617.1294802527073
46,3140.6417785850217,3641.387843662841
47,3106.0064027120666,3664.9260207998436
48,3070.8856765605037,3687.7336870412796
49,3035.295005241574,3709.8008381909326
50,2999.25,3731.117794866985
51,2962.7664713663794,3751.6752067477055
52,2925.8604222221634,3771.4640566728135
53,2888.5480407802625,3790.4756645987063
54,2850.845693484363,3808.7016914058063
55,2812.7699178300622,3826.1341425563805
56,2774.3374151109797,3842.7653716012064
57,2735.5650430930136,3858.588083533559
58,2696.4698086199696,3873.5953379890366
59,2657.0688601537972,3887.780552289843
60,2617.3794802527073,3901.137504332159
61,2577.4190779904707,3913.6603353153682
62,2537.205181320224,3925.3435523119174
